I think there may be a better solution	I think that is a dumb idea
I would prefer not to talk about that	That is none of your business
He is not the brightest guy	He is an idiot
Please be quiet	Shut up
This phone does not work so well	This phone is a piece of garbage
This meal was delicious	I guess this meal wasn't completely disgusting
This seems like a huge challenge	I will never be able to do this
Could you please stop doing that?	If you don't stop, I am going to punch you in the face
I'm not sure if those are the best shoes	You look ridiculous in those shoes
I think you are being a bit unreasonable	Are you freaking kidding me?
I am going to have to ask you to leave	Get the hell out of my face
Thank you so much	Thank you, I guess
You seem a bit tired	You should get some rest, you look awful
The way you talk is really unique	Why do you talk that way?
You are not making much sense today	Are you always so stupid or is today a special occasion?
It may be best that you don't talk about things that you are not sure of	Unless your name is Google stop acting like you know everything
I just need to be alone for a while	I would give anything to not see your face right now
That is wonderful news!	So what?
That is hard to believe	Stop lying
Is something wrong?	What now?
Thanks for your concern	What do you care?
I admire your effort	Your work is underwhelming
I don't really understand	What the hell are you talking about?
Could you scoot over just a little bit?	Move!
I don't think so	No
This is pretty hard to understand	How could you not understand this?
Thanks for telling me that	I already knew that
I am really sorry. Please forgive me	I'm not sorry. It's not even that serious
You are such a nice person for doing that	Stop pretending to be so nice
You startled me!	You scared the crap out of me!
I am very upset with you right now	I hate your guts
Could you please be quiet just for a second?	Do you ever stop talking?
I'm sure you'll do better next time	Can't you do anything right?
I think we're going to need to hurry up a little	Why are always so slow?
Things haven't exactly been going my way lately	Why do bad things always happen to me?
Don't worry. It will get better	Don't get your hopes up
Thanks for the advice	You call that advice?
It is difficult, but I'm sure you'll be able to do it	It's too hard for you
The important thing is that you tried your hardest	The bottom line is that you failed
I'll try	Do I have to?
You have great taste	You are so pretentious
Great joke!	You think you're funny?
I'm really sorry to hear that	Stop whining
You definitely deserve that	Why would you think that you deserve that?
Can we watch a different movie?	I hate this movie
Calm down and tell me what happened	Stop talking like a crazy person
You should try to do this on your own	Can't you do anything by yourself?
We are already half way there!	We are still only half way there
Something smells funny	What's that smell? Did you take your shoes off again?
I'm sorry but I still haven't got the water I asked for	Where is that water I asked for?
I think we should remain friends	I would never go out with you
We regret to inform you that we have to let you go	You're fired
We are not that close yet	You don't know me
Working out will be good for your health	You are so fat
You are a little late	Do you know what time it is?
That is an interesting fact	Did anyone ask?
I will definitely think about it	It's never going to happen
Today is going to be a great day	How will I get through another day
You are working late on a Friday? You work very hard	You are working late on a Friday? Don't you have anything better to do?
You should go for it!	You are setting yourself up for failure
I am sure that you had your reasons	You better have a great excuse, or else!
Can we move on to a more fun subject?	You are boring me
I'm fine with anything	Just pick anything, I don't give a damn
Your opinion means a huge deal to me	It really doesn't matter to me what you think
I am sorry if I offended you	You are being too sensitive
You always have great reactions to things	You always overreact to everything
That must be really hard	Stop dumping your problems on me
Thanks for your constructive advice	I am sorry you can't appreciate quality artwork
You look great today!	You look nice today, I almost didn't recognize you
You photograph very well	You don't look as good as you do in photos
I admire your confidence	Why are you always so proud of yourself?
This teacher has a unique way of teaching	This teacher is a con artist
She is not the most pleasant person to hang out with	I can't stand another second with her
She is smart in her own way	She is stupid
He is rather big boned	He is so fat
He was an unfortunate casualty of downsizing	He got fired because of his incompetence
She is always so full of energy	She tries too hard
You and I have rather different tastes in music	You have horrible taste in music
To each his own	Your opinion is complete baloney
It's okay. Everyone makes mistakes	I knew I shouldn't have trusted you
If you try hard, you will one day be like him	You will never be like him no matter how hard you try
It's important to know when it's time to give up	I knew you would eventually give up
I should make the best of these unfortunate circumstances	I am hopeless, I might as well just give up
I love your new haircut	Why did you get your hair cut like that?
The long commute gives me a lot of time to think	The long commute is killing me
Your house is very warm and cosy	Your house is tiny
